,Director,Actor_list
702,Victor FlemingGeorge Cukor(uncredited)Sam Wood(uncredited),Clark Gable
703,Richard Benjamin,Peter O'Toole
704,Billy Wilder,William Holden
705,Orson Welles,Orson Welles
706,Stanley Kubrick,Keir Dullea
707,Joseph L. Mankiewicz,Bette Davis
708,George Cukor,Norma Shearer
709,Alfred Hitchcock,Laurence Olivier
710,Alfred Hitchcock,Joel McCrea
711,Alfred Hitchcock,Cary Grant
712,Alfred Hitchcock,Ingrid Bergman
713,Leo McCarey,Cary Grant
714,Alfred Hitchcock,Cary Grant
715,Vincente Minnelli,Spencer Tracy
716,Vincente Minnelli,Fred Astaire
717,Ernst Lubitsch,Greta Garbo
718,Billy Wilder,Gary Cooper
719,Vincente MinnelliCharles Walters(uncredited),Leslie Caron
720,Michael CurtizWilliam Keighley,Errol Flynn
721,Rouben Mamoulian,Tyrone Power
722,Otto Preminger,Gene Tierney
723,Joseph L. Mankiewicz,Gene Tierney
724,Frank Capra,Ronald Colman
725,Mark Sandrich,Fred Astaire
726,Ernst Lubitsch,Carole Lombard
727,Gregory La Cava,William Powell
728,George Stevens,Elizabeth Taylor
729,Elia Kazan,James Dean
730,W.S. Van Dyke,William Powell
731,Howard Hawks,Cary Grant
732,Michael AndersonJohn Farrow(Spanish sequences),David Niven
733,Frank Capra,James Stewart
734,Frank Capra,James Stewart
735,Howard Hawks,Katharine Hepburn
736,George Stevens,Cary Grant
737,John Cromwell,Bette Davis
738,John Cromwell,Freddie Bartholomew
739,Henry Koster,Danny Kaye
740,Alfred Hitchcock,Robert Donat
741,George A. Romero,Duane Jones
742,John Huston,Humphrey Bogart
743,John Huston,Humphrey Bogart
744,Richard Brooks,Elizabeth Taylor
745,Frank Capra,Gary Cooper
746,Frank Borzage,Gary Cooper
747,Thaddeus O'Sullivan,Ian Hart
748,Darrell Roodt,Ice Cube
749,Joshua Logan,William Holden
750,Richard Schenkman,Adrian Pasdar
751,Carroll Ballard,Jeff Daniels
752,Lance Young,Craig Sheffer
753,Allison Anders,Illeana Douglas
754,Ringo Lam,Jean-Claude Van Damme
755,Neil Jordan,Liam Neeson
756,Matthew Broderick,Matthew Broderick
757,Campbell ScottStanley Tucci,Tony Shalhoub
758,Walter Hill,Bruce Willis
759,F. Gary Gray,Jada Pinkett Smith
760,John Herzfeld,Teri Hatcher
761,Michael Apted,Hugh Grant
762,John Gray,Steven Seagal
763,Robert Lieberman,Emilio Estevez
764,James Foley,Chris O'Donnell
765,Norman Tokar,Bill Bixby
766,Norman Foster,Fess Parker
767,John Hough,Eddie Albert
768,Robert Stevenson,Dean Jones
769,Robert Stevenson,Helen Hayes
770,Robert Stevenson,Dorothy McGuire
771,David Swift,Hayley Mills
772,David Swift,Jane Wyman
773,Duwayne Dunham,Michael J. Fox
774,Charles Barton,Fred MacMurray
775,Ken Annakin,John Mills
776,Robert Stevenson,Hayley Mills
777,Richard Fleischer,Kirk Douglas
778,Jon Turteltaub,John Candy
779,William Dear,Danny Glover
780,Clyde GeronimiWilfred JacksonHamilton Luske,Ilene Woods
781,Wolfgang ReithermanBen Sharpsteen(earlier cartoon clips),Sebastian Cabot
782,Norman FergusonClyde Geronimi(sequence director)Jack Kinney(sequence director),Aurora Miranda
783,Wolfgang ReithermanClyde Geronimi(earlier film clips)David Hand(earlier film clips),Rickie Sorensen
784,Kevin Reynolds,Kevin Costner
785,Robert Stevenson,Julie Andrews
786,Samuel Armstrong(sequence director)Norman Ferguson(sequence director)Wilfred Jackson(sequence director),Sterling Holloway
787,Don ChaffeyDon Bluth(animation director),Sean Marshall
788,Robert StevensonWard Kimball(animation director),Angela Lansbury
789,Clyde GeronimiWilfred JacksonHamilton Luske,Kathryn Beaumont
790,Ted BermanRichard RichArt Stevens,Mickey Rooney
791,Matthew Bright,Reese Witherspoon
792,Robert Wise,Julie Andrews
793,John McTiernan,Bruce Willis
794,Brett Leonard,Jeff Fahey
795,Christopher Hampton,Bob Hoskins
796,Mike Leigh,Timothy Spall
797,Tom Hanks,Tom Hanks
798,Michael Pressman,Peter Gallagher
799,Hettie Macdonald,Glen Berry
800,Renny Harlin,Geena Davis
801,Stephen Hopkins,Michael Douglas
802,Al Pacino,Al Pacino
803,Steve Buscemi,Steve Buscemi
804,John McNaughton,Ashley Judd
805,Spike Lee,Ossie Davis
806,George P. Cosmatos,Charlie Sheen
807,Michael Winterbottom,Christopher Eccleston
808,Woody Allen,Woody Allen
809,Baz Luhrmann,Leonardo DiCaprio
810,Doug Liman,Vince Vaughn
811,Barry Levinson,Robert De Niro
812,Tad Stones,Scott Weinger
813,Mark Sandrich,Fred Astaire
814,Edward Dmytryk,Robert Young
815,Mel Stuart,Gene Wilder
816,Jack Clayton,Deborah Kerr
817,Woody Allen,Woody Allen
818,Woody Allen,Woody Allen
819,Charles CrichtonJohn Cleese(uncredited),John Cleese
820,Terry Jones,Graham Chapman
821,Blake Edwards,Julie Andrews
822,Michael Ritchie,Robert Redford
823,Blake Edwards,Tony Curtis
824,Arthur Penn,Warren Beatty
825,John SturgesFred Zinnemann(uncredited),Spencer Tracy
826,Alfred Hitchcock,Ray Milland
827,Emile Ardolino,Patrick Swayze
828,Quentin Tarantino,Harvey Keitel
829,Oliver Stone,Charlie Sheen
830,Ted Kotcheff,Andrew McCarthy
831,Paul Verhoeven,Michael Douglas
832,Oliver Stone,Val Kilmer
833,Neil Jordan,Stephen Rea
834,James Foley,Al Pacino
835,Alan J. Pakula,Meryl Streep
836,Steven Spielberg,Henry Thomas
837,Edwin L. Marin,Reginald Owen
838,Tony Scott,Tom Cruise
839,Tony Scott,Tom Cruise
840,Nicholas Ray,James Dean
841,Elia Kazan,Vivien Leigh
842,Greg Spence,Naomi Watts
843,Erik Burke,Brendan Kelly
844,Claude NuridsanyMarie Pérennou,Marie Pérennou
845,Alan Taylor,William Forsythe
846,Abel Ferrara,Christopher Walken
847,Benoît Jacquot,Virginie Ledoyen
848,Jaco Van Dormael,Daniel Auteuil
849,Peter Cohn,Richard Lewis
850,Milos Forman,Woody Harrelson
851,Rich Wilkes,Ben Affleck
852,R.J. CutlerDavid Van Taylor,Don Baker
853,Mark Rydell,Katharine Hepburn
854,Blake Edwards,Peter Sellers
855,Ate de Jong,Phoebe Cates
856,James Cameron,Ed Harris
857,John Carpenter,Adrienne Barbeau
858,John Carpenter,Kurt Russell
859,Joe Dante,Dee Wallace
860,Claude Berri,Yves Montand
861,Claude Berri,Yves Montand
862,Howard Zieff,Goldie Hawn
863,Terry GilliamTerry Jones,Graham Chapman
864,Rick CastroBruce La Bruce,Tony Ward
865,Michael Ray Rhodes,Moira Kelly
866,Susan Warms Dryfoos,Julie Andrews
867,Leon Gast,Muhammad Ali
868,Nick Park,Brian Sibley
869,Daniel Vigne,Gérard Depardieu
870,Jan Svankmajer,Petr Cepek
871,Vittorio De Sica,Emilio Cigoli
872,Volker Schlöndorff,David Bennent
873,Peter Medak,Peter O'Toole
874,Martine Dugowson,Romane Bohringer
875,Garry Marshall,Greg Kinnear
876,Phillip Rhee,Phillip Rhee
877,Tim Robbins,Tim Robbins
878,Giuseppe Tornatore,Philippe Noiret
879,Peter Greenaway,Richard Bohringer
880,Marc CaroJean-Pierre Jeunet,Marie-Laure Dougnac
881,Krzysztof Kieslowski,Irène Jacob
882,Mike Newell,Alfred Molina
883,Stanley Kubrick,Kirk Douglas
884,Stephen Frears,Anjelica Huston
885,Peter Chelsom,Ned Beatty
886,Anthony Minghella,Ralph Fiennes
887,Gabriele Salvatores,Diego Abatantuono
888,Jim Sheridan,Daniel Day-Lewis
889,Steven Soderbergh,James Spader
890,John Sayles,Mary McDonnell
891,Baz Luhrmann,Paul Mercurio
892,Errol Morris,Randall Adams
893,Pedro Almodóvar,Victoria Abril
894,Alek Keshishian,Madonna
895,Jennie Livingston,Brooke Xtravaganza
896,Milos Forman,Jack Nicholson
897,Lou AdlerTommy Chong(uncredited),Cheech Marin
898,Irvin Kershner,Mark Hamill
899,Rob Reiner,Cary Elwes
900,Steven Spielberg,Harrison Ford
901,Terry Gilliam,Jonathan Pryce
902,James Cameron,Sigourney Weaver
903,Sergio Leone,Clint Eastwood
904,Bruce Robinson,Richard E. Grant
905,Sidney Lumet,Henry Fonda
906,David Lean,Peter O'Toole
907,Stanley Kubrick,Malcolm McDowell
908,Robert Mulligan,Gregory Peck
909,Francis Ford Coppola,Martin Sheen
910,Sergio Leone,Henry Fonda
911,Richard Marquand,Mark Hamill
912,Wim Wenders,Bruno Ganz
913,Carol Reed,Orson Welles
914,Martin Scorsese,Robert De Niro
915,Ridley Scott,Sigourney Weaver
916,Sam Raimi,Bruce Campbell
917,Luc Besson,Jean-Marc Barr
918,Akira Kurosawa,Tatsuya Nakadai
919,John Woo,Chow Yun-Fat
920,Alfred Hitchcock,Anthony Perkins
921,John Landis,John Belushi
922,Francis Ford Coppola,Al Pacino
923,Stanley Kubrick,Matthew Modine
924,Nick Park,Nick Park
925,Kenneth Branagh,Kenneth Branagh
926,Milos Forman,F. Murray Abraham
927,John Ford,John Wayne
928,Sergio Leone,Robert De Niro
929,Martin Scorsese,Robert De Niro
930,Woody Allen,Woody Allen
931,Philip Kaufman,Sam Shepard
932,Andrei Tarkovsky,Alisa Freyndlikh
933,Wolfgang Petersen,Jürgen Prochnow
934,George Roy Hill,Paul Newman
935,Hal Ashby,Ruth Gordon
936,Hal Hartley,Adrienne Shelly
937,Ingmar Bergman,Max von Sydow
938,Bill Forsyth,Burt Lancaster
939,James Cameron,Arnold Schwarzenegger
940,Peter Jackson,Timothy Balme
941,Edward Zwick,Matthew Broderick
942,Tom Stoppard,Gary Oldman
943,Woody Allen,Woody Allen
944,Joel CoenEthan Coen(uncredited),Gabriel Byrne
945,Peter Weir,Robin Williams
946,Mike Nichols,Dustin Hoffman
947,Orson Welles,Charlton Heston
948,Luc Besson,Anne Parillaud
949,David Lean,William Holden
950,Federico Fellini,Marcello Mastroianni
951,Roman Polanski,Jack Nicholson
952,Robert Wise,Michael Rennie
953,John Huston,Humphrey Bogart
954,Peter Jackson,Terry Potter
955,Leo McCarey,Groucho Marx
956,Savage Steve Holland,John Cusack
957,Stanley Kubrick,Jack Nicholson
958,Rob Reiner,Wil Wheaton
959,Fritz Lang,Peter Lorre
960,Sam Raimi,Bruce Campbell
961,John Sturges,Steve McQueen
962,Michael Cimino,Robert De Niro
963,Jean-Jacques Beineix,Wilhelmenia Fernandez
964,Harold Ramis,Bill Murray
965,Clint Eastwood,Clint Eastwood
966,John Frankenheimer,Frank Sinatra
967,Allan Moyle,Christian Slater
968,Frank Capra,Cary Grant
969,Robert Zemeckis,Michael J. Fox
970,Jon Avnet,Kathy Bates
971,Franklin J. Schaffner,George C. Scott
972,Jim Jarmusch,Tom Waits
973,Katsuhiro Ôtomo(supervising director),Mitsuo Iwata
974,Russell Mulcahy,Christopher Lambert
975,Stuart Rosenberg,Paul Newman
976,Jean-Paul Rappeneau,Gérard Depardieu
977,Mel Brooks,Gene Wilder
978,Jim Jarmusch,Winona Ryder
979,Yimou Zhang,Gong Li
980,Charles Chaplin,Charles Chaplin
981,"James Algar(segment The Sorcerer's Apprentice)Samuel Armstrong(segments Toccata and Fugue in D Minor, The Nutcracker Suite)Ford Beebe Jr.(segment The Pastoral Symphony)",Leopold Stokowski
982,Fred Zinnemann,Gary Cooper
983,Howard Hawks,Humphrey Bogart
984,Michael Lehmann,Winona Ryder
985,Jeannot Szwarc,Christopher Reeve
986,William Wyler,Charlton Heston
987,Rob Reiner,Rob Reiner
988,Godfrey Reggio,Ed Asner
989,Howard Deutch,Eric Stoltz
990,Steven Spielberg,Harrison Ford
991,Hal Ashby,Peter Sellers
992,Richard Attenborough,Ben Kingsley
993,Philip Kaufman,Daniel Day-Lewis
994,James Ivory,Maggie Smith
995,Martha Coolidge,Val Kilmer
996,Alan Parker,Bob Geldof
997,Roland Joffé,Sam Waterston
998,Lasse Hallström,Anton Glanzelius
999,Fred M. Wilcox,Walter Pidgeon
1000,Phil Alden Robinson,Kevin Costner
1001,John Huston,Sean Connery
1002,George Roy Hill,Paul Newman
1003,Wim Wenders,Harry Dean Stanton
1004,Wim Wenders,William Hurt
1005,Rob Reiner,Billy Crystal
1006,Doug Pray,7 Year Bitch
1007,Susan Streitfeld,Tilda Swinton
1008,Carl Prechezer,Sean Pertwee
1009,David Fincher,Sigourney Weaver
1010,John Landis,David Naughton
1011,Tony Randel,Stephen Macht
1012,Richard Fleischer,Tony Roberts
1013,Steve White,Robin Thomas
1014,John Murlowski,Ross Partridge
1015,Damiano Damiani,James Olson
1016,Stuart Rosenberg,James Brolin
1017,Tom Berry,Kim Coates
1018,Paul Morrissey,Joe Dallesandro
1019,Fred Walton,Deborah Foreman
1020,Robert Wise,Anthony Hopkins
1021,John Schlesinger,Martin Sheen
1022,Alfred Hitchcock,Rod Taylor
1023,Irvin S. Yeaworth Jr.Russell S. Doughten Jr.(uncredited),Steve McQueen
1024,Jeffrey Bloom,David Huffman
1025,Eric Red,Jeff Fahey
1026,Robert Wise,Boris Karloff
1027,Francis Ford Coppola,Gary Oldman
1028,James Whale,Boris Karloff
1029,Dan Curtis,Karen Black
1030,Bernard Rose,Virginia Madsen
1031,Martin Scorsese,Robert De Niro
1032,J. Lee Thompson,Gregory Peck
1033,Brian De Palma,Sissy Spacek
1034,Paul Schrader,Nastassja Kinski
1035,Wes Craven,Heather Langenkamp
1036,F.W. Murnau,Max Schreck
1037,Augusto CaminitoKlaus Kinski(some scenes)Maurizio Lucidi(few crowd scenes),Klaus Kinski
1038,Richard Donner,Gregory Peck
1039,Bob Rafelson,Jack Nicholson
1040,Kevin Spacey,Matt Dillon
1041,Barbra Streisand,Barbra Streisand
1042,Lars von Trier,Emily Watson
1043,Ole Bornedal,Ewan McGregor
1044,Jonathan Frakes,Patrick Stewart
1045,Scott Hicks,Geoffrey Rush
1046,Billy Bob Thornton,Billy Bob Thornton
1047,Brian Levant,Arnold Schwarzenegger
1048,Joe BerlingerBruce Sinofsky,Tony Brooks
1049,Penny Marshall,Denzel Washington
1050,Patrice Leconte,Charles Berling
1051,Nicholas Hytner,Daniel Day-Lewis
1052,Stephen Herek,Glenn Close
1053,Renny Harlin,Bruce Willis
1054,Robert Wise,William Shatner
1055,Nicholas Meyer,William Shatner
1056,William Shatner,William Shatner
1057,Nicholas Meyer,William Shatner
1058,Leonard Nimoy,William Shatner
1059,Leonard Nimoy,William Shatner
1060,Tim Burton,Michael Keaton
1061,Christopher Cain,Emilio Estevez
1062,Geoff Murphy,Emilio Estevez
1063,Randal Kleiser,John Travolta
1064,Patricia Birch,Michelle Pfeiffer
1065,Dwight H. Little,Steven Seagal
1066,Andrew Davis,Steven Seagal
1067,Steven Spielberg,Roy Scheider
1068,Jeannot Szwarc,Roy Scheider
1069,Joe Alves,Dennis Quaid
1070,Peter Segal,Jack Lemmon
1071,Tim Burton,Jack Nicholson
1072,Alexander Payne,Laura Dern
1073,Cameron Crowe,Tom Cruise
1074,Joel CoenEthan Coen(uncredited),Nicolas Cage
1075,Barry Levinson,Richard Dreyfuss
1076,Phil Alden Robinson,Robert Redford
1077,Anjelica Huston,Jennifer Jason Leigh
1078,Richard Attenborough,Sandra Bullock
1079,Jerry Zaks,Meryl Streep
1080,Rob Reiner,Alec Baldwin
1081,Mike JudgeMike de Seve(segment director)Brian Mulroney(segment director),Mike Judge
1082,Claude Chabrol,Isabelle Huppert
1083,Wes Craven,Neve Campbell
1084,Michael Mann,Daniel Day-Lewis
1085,Nora Ephron,John Travolta
1086,Kenneth Branagh,Kenneth Branagh
1087,Terry George,Helen Mirren
1088,Dan Ireland,Vincent D'Onofrio
1089,Albert Brooks,Albert Brooks
1090,André Téchiné,Catherine Deneuve
1091,Alan Parker,Madonna
1092,Jane Campion,Nicole Kidman
1093,Nicolas Roeg,Jenny Agutter
1094,Dwight H. Little,Wesley Snipes
1095,Ralph Ziman,Danny Keogh
1096,Robert YoungFred Schepisi,John Cleese
1097,George Miller,Steve Guttenberg
1098,Robert Butler,Ray Liotta
1099,Michael Rymer,John Lynch
1100,Stanley Tong,Jackie Chan
1101,Roger Christian,Denis Leary
1102,Dennis Dugan,Chris Farley
1103,Thomas Carter,Eddie Murphy
1104,Andrew Birkin,Charlotte Gainsbourg
1105,Roger Donaldson,Pierce Brosnan
1106,Peter Baldwin,Rodney Dangerfield
1107,E. Max Frye,Nicolas Cage
1108,Jeremiah S. Chechik,Johnny Depp
1109,Steve James,Jared Leto
1110,Bryan Spicer,Tom Arnold
1111,Jan Sverák,Zdenek Sverák
1112,Vondie Curtis-Hall,Tupac Shakur
1113,Christopher Guest,Christopher Guest
1114,Ken Kwapis,Fran Drescher
1115,Richard Linklater,Giovanni Ribisi
1116,Paul Miller,John Leguizamo
1117,Andy Tennant,Matthew Perry
1118,Paul Schrader,Bridget Fonda
1119,Clint Eastwood,Clint Eastwood
1120,Bob Spiers,Christina Ricci
1121,Stephen Kessler,Chevy Chase
1122,David Lynch,Bill Pullman
1123,John Singleton,Jon Voight
1124,Mike Newell,Al Pacino
1125,Jeff Pollack,Jamie Foxx
1126,Tamra Davis,Dean Cain
1127,John Pasquin,Tim Allen
1128,Mira Nair,Naveen Andrews
1129,Betty Thomas,Howard Stern
1130,Theodore Witcher,Larenz Tate
1131,Phillip Noyce,Val Kilmer
1132,Bille August,Julia Ormond
1133,David Cronenberg,James Spader
1134,Greg Mottola,Hope Davis
1135,Tom Shadyac,Jim Carrey
1136,Gregory Nava,Jennifer Lopez
1137,Alan J. Pakula,Harrison Ford
1138,Mark Dindal,Scott Bakula
1139,Robert Townsend,Halle Berry
1140,Emma-Kate Croghan,Frances O'Connor
1141,Shuki LevyDavid Winning,Jason David Frank
1142,Bernard Rose,Sophie Marceau
1143,Hark Tsui,Jean-Claude Van Damme
1144,Pat O'Connor,Liv Tyler
1145,Luis Llosa,Jon Voight
1146,George Armitage,John Cusack
1147,Lynne Stopkewich,Molly Parker
1148,Tom Schulman,Joe Pesci
1149,Bruce Beresford,Glenn Close
1150,David Mirkin,Mira Sorvino
1151,Kaige Chen,Leslie Cheung
1152,Mick Jackson,Tommy Lee Jones
1153,Peter Duncan,Judy Davis
1154,Jay Roach,Mike Myers
1155,Jonathan Mostow,Kurt Russell
1156,Gregor Nicholas,Aleksandra Vujcic
1157,Ivan Reitman,Robin Williams
1158,Luc Besson,Bruce Willis
1159,Gregg Araki,James Duval
1160,Jean-Pierre DardenneLuc Dardenne,Jérémie Renier
1161,Masayuki Suô,Kôji Yakusho
1162,Griffin Dunne,Meg Ryan
1163,Mark Herman,Pete Postlethwaite
1164,Steven Spielberg,Jeff Goldblum
1165,Jacques Doillon,Victoire Thivisol
1166,Steven Soderbergh(uncredited),Steven Soderbergh
1167,Dale Rosenbloom,Blake Heron
1168,Clare Peploe,Bridget Fonda
1169,Jonathan Lynn,Michael Richards
1170,Caroline Thompson,Rene Russo
1171,Simon West,Nicolas Cage
1172,Peter Greenaway,Vivian Wu
1173,Jan de Bont,Sandra Bullock
1174,Joel Schumacher,Arnold Schwarzenegger
1175,Paul Weiland,Jean Reno
1176,Jim Wilson,Harvey Keitel
1177,Ron ClementsJohn Musker,Tate Donovan
1178,P.J. Hogan,Julia Roberts
1179,Cédric Klapisch,Garance Clavel
1180,Jean-Luc Godard,Brigitte Bardot
1181,John Woo,John Travolta
1182,Eric Schaeffer,Eric Schaeffer
1183,Barry Sonnenfeld,Tommy Lee Jones
1184,Martha Coolidge,Jack Lemmon
1185,William Dear,Jonathan Taylor Thomas
1186,Michael Ritchie,Martin Short
1187,Robert Zemeckis,Jodie Foster
1188,Shirley Barrett,Miranda Otto
1189,Ridley Scott,Demi Moore
1190,John Milius,Arnold Schwarzenegger
1191,Sam Weisman,Brendan Fraser
1192,James Mangold,Sylvester Stallone
1193,Paul W.S. Anderson,Laurence Fishburne
1194,Mark A.Z. Dippé,Michael Jai White
1195,Charles Martin Smith,Michael Jeter
1196,Glenn Gordon Caron,Jennifer Aniston
1197,Neil LaBute,Aaron Eckhart
1198,Mike Leigh,Katrin Cartlidge
1199,Richard Donner,Mel Gibson
1200,Barbet Schroeder,Michael Keaton
1201,Kenneth Johnson,Shaquille O'Neal
1202,Nick Cassavetes,Sean Penn
1203,Bill Duke,Laurence Fishburne
1204,Andy Cadiff,Christopher McDonald
1205,Guillermo del Toro,Mira Sorvino
1206,Brett Ratner,Charlie Sheen
1207,Marco Brambilla,Alicia Silverstone
1208,John Nicolella,Kevin Sorbo
1209,Wolfgang Petersen,Harrison Ford
1210,Kevin Reynolds,Samuel L. Jackson
1211,John McTiernan,Sean Connery
1212,Gus Van Sant,River Phoenix
1213,Tony Vitale,Nick Scotti
1214,Miguel Arteta,Douglas Spain
1215,Frank Oz,Kevin Kline
1216,Lee Tamahori,Anthony Hopkins
1217,Mimi Leder,George Clooney
1218,Curtis Hanson,Kevin Spacey
1219,Jean-Jacques Annaud,Brad Pitt
1220,Gary Fleder,Morgan Freeman
1221,George Tillman Jr.,Vanessa Williams
1222,Robert Kurtzman,Tammy Lauren
1223,Jocelyn Moorhouse,Michelle Pfeiffer
1224,David Fincher,Michael Douglas
1225,Félix Enríquez Alcalá,Steven Seagal
1226,Oliver Stone,Sean Penn
1227,Mark Joffe,Janeane Garofalo
1228,Christian Duguay,Aidan Quinn
1229,Victor Nunez,Peter Fonda
1230,Ang Lee,Kevin Kline
1231,Kevin Smith,Ben Affleck
1232,Peter Cattaneo,Robert Carlyle
1233,Nancy Meckler,Jason Flemyng
1234,John Madden,Judi Dench
1235,Jim Gillespie,Jennifer Love Hewitt
1236,Taylor Hackford,Keanu Reeves
1237,Stuart Gillard,Harland Williams
1238,Andy Wilson,David Duchovny
1239,Mark Waters,Parker Posey
1240,Errol Morris,Dave Hoover
1241,Agnieszka Holland,Jennifer Jason Leigh
1242,Jim Jarmusch,Neil Young
1243,Andrew Niccol,Ethan Hawke
1244,Charles Sturridge,Paul McGann
1245,Joe Chappelle,Peter O'Toole
1246,Beeban Kidron,Rachel Weisz
1247,Danny Boyle,Cameron Diaz
1248,Morgan J. Freeman,Brendan Sexton III
1249,Kasi Lemmons,Samuel L. Jackson
1250,Jeb Stuart,Danny Glover
1251,Jim Kouf,Jim Belushi
1252,Ivan Reitman,Bill Murray
1253,Mel Smith,Rowan Atkinson
1254,Costa-Gavras,John Travolta
1255,Michael Winterbottom,Stephen Dillane
1256,Jonas PateJosh Pate,Tim Roth
1257,Francis Ford Coppola,Matt Damon
1258,Paul Thomas Anderson,Mark Wahlberg
1259,Peter Weir,Harrison Ford
1260,John Badham,Jason Patric
1261,Paul Verhoeven,Casper Van Dien
1262,Sidney Lumet,James Spader
1263,Wayne Wang,Tamlyn Tomita
1264,Alex Zamm,Scott 'Carrot Top' Thompson
1265,Peter Howitt,Gwyneth Paltrow
1266,John R. Leonetti,Robin Shou
1267,Peter Weir,Jim Carrey
1268,Iain Softley,Helena Bonham Carter
1269,Marleen Gorris,Vanessa Redgrave
1270,Billy Hopkins,Jeanne Moreau
1271,Jon Avnet,Richard Gere
1272,Michael Caton-Jones,Bruce Willis
1273,Don BluthGary Goldman,Meg Ryan
1274,Jon Amiel,Bill Murray
1275,Jean-Pierre Jeunet,Sigourney Weaver
1276,Steven Spielberg,Djimon Hounsou
1277,Robert Duvall,Robert Duvall
1278,Agnès Merlet,Valentina Cervi
1279,Sean Mathias,Lothaire Bluteau
1280,Neil Jordan,Stephen Rea
1281,Woody Allen,Woody Allen
1282,Les Mayfield,Robin Williams
1283,Bryan Spicer,Tim Allen
1284,Gus Van Sant,Robin Williams
1285,Raja Gosnell,Alex D. Linz
1286,Clint Eastwood,John Cusack
1287,Gore Verbinski,Nathan Lane
1288,Wes Craven,Neve Campbell
1289,Rodney Gibbons,Michele Greene
1290,Atom Egoyan,Ian Holm
1291,James Cameron,Leonardo DiCaprio
1292,Roger Spottiswoode,Pierce Brosnan
1293,Kevin Costner,Kevin Costner
1294,Robert Redford,Robert Redford
1295,Quentin Tarantino,Pam Grier
1296,Martin Scorsese,Tenzin Thuthob Tsarong
1297,Stanley Tong,Leslie Nielsen
1298,Joel CoenEthan Coen(uncredited),Jeff Bridges
1299,Alan Rudolph,Nick Nolte
1300,Alain Berliner,Georges Du Fresne
1301,Alfonso Cuarón,Ethan Hawke
1302,Sean McNamara,Loni Anderson
1303,Penelope Spheeris,Marlon Wayans
1304,Barry Levinson,Dustin Hoffman
1305,Alex Proyas,Rufus Sewell
1306,Mikael Salomon,Morgan Freeman
1307,Tamra Davis,Dave Chappelle
1308,Gregory Hoblit,Denzel Washington
1309,Stefan Schwartz,Dan Futterman
1310,Kar-Wai Wong,Leon Lai
1311,Bruno Barreto,Alan Arkin
1312,Bob Spiers,Mel B
